work_id,subject
160228,Still-Life
160236,Still-Life
160244,Still-Life
160252,Still-Life
160260,Still-Life
160268,Still-Life
125752,Horses
23448,Horses
125763,Horses
24532,"Marine Art/Maritime"
124470,"Marine Art/Maritime"
124479,"Marine Art/Maritime"
22602,Nude
124488,"Marine Art/Maritime"
22603,Still-Life
124497,"Marine Art/Maritime"
6719,Autumn/Fall
124506,"Marine Art/Maritime"
124515,"Marine Art/Maritime"
124524,"Marine Art/Maritime"
124533,"Marine Art/Maritime"
124542,"Marine Art/Maritime"
6719,Rivers/Lakes
124551,"Marine Art/Maritime"
6723,Autumn/Fall
124560,"Marine Art/Maritime"
208575,Rivers/Lakes
124569,"Marine Art/Maritime"
6725,Rivers/Lakes
124578,"Marine Art/Maritime"
6721,Rivers/Lakes
124587,"Marine Art/Maritime"
6727,Rivers/Lakes
135881,Portraits
6729,Rivers/Lakes
208553,Rivers/Lakes
6731,Rivers/Lakes
6737,Winter
6743,Rivers/Lakes
6747,Winter
6749,Bridges
6751,Gardens
6753,Horses
135892,Portraits
135903,Portraits
135914,Portraits
135925,Portraits
135936,Portraits
135947,Portraits
135958,Portraits
135969,Portraits
31778,Portraits
135980,Portraits
147731,Musics
147731,Portraits
147742,Portraits
147753,Portraits
147764,Portraits
147815,Portraits
147797,Portraits
147806,Portraits
147775,Musics
147775,Portraits
147786,Dancers
147786,Portraits
24536,Portraits
24536,"U.S. Presidents"
122171,Dogs
122171,Portraits
122182,Portraits
122193,Portraits
122204,Portraits
122215,Portraits
122224,Portraits
194065,Portraits
194074,Portraits
194148,Portraits
194130,Portraits
194121,Portraits
194083,Portraits
194092,Portraits
194101,Portraits
194155,Portraits
6755,Spring
194110,Portraits
6765,Seascapes
194162,Portraits
6771,Spring
194169,Portraits
23392,"Landscape Art"
194139,Portraits
23392,Seascapes
160324,Portraits
185403,"Landscape Art"
160332,Portraits
185411,"Landscape Art"
24029,Rivers/Lakes
24035,Rivers/Lakes
24037,Rivers/Lakes
24041,Horses
24047,Horses
24064,Rivers/Lakes
24066,Rivers/Lakes
24068,Rivers/Lakes
204794,Rivers/Lakes
29914,Flowers
126089,Flowers
126219,Bridges
126219,Rivers/Lakes
126109,Flowers
126164,Flowers
126175,Spring
126294,Flowers
126241,Flowers
126241,Still-Life
29922,Still-Life
126131,Flowers
126153,Flowers
126274,Flowers
126142,Flowers
5093,"Landscape Art"
5093,Rivers/Lakes
5095,"Landscape Art"
5097,Horses
5097,"Landscape Art"
5099,"Landscape Art"
5101,Autumn/Fall
5101,"Landscape Art"
185659,"Landscape Art"
185419,"Landscape Art"
5103,"Landscape Art"
185427,"Landscape Art"
5105,"Landscape Art"
185435,"Landscape Art"
5105,Spring
185451,"Landscape Art"
5109,"Landscape Art"
185443,"Landscape Art"
5109,Rivers/Lakes
185459,"Landscape Art"
5111,"Landscape Art"
185362,"Landscape Art"
5115,Deers
185362,Seascapes
5115,"Landscape Art"
185666,"Landscape Art"
5113,Deers
185467,"Landscape Art"
5113,"Landscape Art"
23394,"Landscape Art"
5117,"Landscape Art"
23396,"Landscape Art"
5117,Rivers/Lakes
23396,Rivers/Lakes
5119,"Landscape Art"
5121,"Landscape Art"
185673,"Landscape Art"
5125,"Landscape Art"
23398,"Landscape Art"
5127,"Landscape Art"
23398,Seascapes
5129,"Landscape Art"
185475,"Landscape Art"
5133,"Landscape Art"
185483,"Landscape Art"
5133,Rivers/Lakes
23400,"Landscape Art"
5135,"Landscape Art"
23400,Rivers/Lakes
5135,Rivers/Lakes
185491,"Landscape Art"
5137,"Landscape Art"
185499,"Landscape Art"
5141,"Landscape Art"
185389,"Landscape Art"
5143,"Landscape Art"
185389,Rivers/Lakes
5155,"Landscape Art"
185371,"Landscape Art"
5155,Rivers/Lakes
185371,Seascapes
5161,"Landscape Art"
185507,"Landscape Art"
185515,"Landscape Art"
5163,"Landscape Art"
185680,"Landscape Art"
5221,"Landscape Art"
185687,"Landscape Art"
128800,Rivers/Lakes
185694,"Landscape Art"
126577,Winter
185555,"Landscape Art"
25863,"Jesus Christ"
21102,Gardens
25871,Christianity
21102,Musics
25873,Christianity
21116,Musics
25875,Portraits
21120,Nude
25879,Portraits
21126,Gardens
25882,Portraits
21132,Dancers
25884,Portraits
25888,Portraits
21134,Dancers
21138,Musics
25890,Portraits
21144,Flowers
25892,Portraits
21142,Flowers
25894,Portraits
21146,Gardens
25900,Portraits
21156,Horses
25902,Portraits
21158,Churches/Temples/Mosques
25904,Portraits
21160,Portraits
25906,Christianity
21184,Portraits
25908,Christianity
21182,Portraits
25910,Christianity
21186,Nude
25914,Christianity
21188,Spring
23540,Nude
21194,Spring
23542,Nude
21206,Portraits
23544,Nude
21214,Portraits
23552,Portraits
24389,Musics
23554,Portraits
24395,Musics
23556,Portraits
24397,Dogs
29962,Still-Life
24427,Musics
28801,"Landscape Art"
24435,Nude
28803,"Landscape Art"
24437,Bridges
135364,Flowers
28805,"Landscape Art"
25499,Flowers
28807,"Landscape Art"
25501,Flowers
28807,Winter
25501,Still-Life
22580,Still-Life
135373,Flowers
22581,Still-Life
22587,Still-Life
22588,Flowers
135382,Flowers
135355,Still-Life
135346,Still-Life
22599,Nude
135324,Flowers
22600,Portraits
135391,Flowers
22601,Portraits
135335,Flowers
6893,Nude
6915,Cafes/Bars
7818,Nude
29612,Nude
29616,Nude
29620,Nude
29626,Nude
29630,Nude
29634,Portraits
29634,"U.S. Presidents"
29648,Nude
29668,Nude
29670,Nude
29678,Portraits
119220,Architectures
29680,Portraits
29682,Portraits
29684,Portraits
29686,Portraits
29688,Nude
119220,Rivers/Lakes
29694,Nude
119238,Architectures
119238,Rivers/Lakes
24271,Architectures
24271,Rivers/Lakes
29696,Nude
23462,Christianity
23462,"Jesus Christ"
23474,Christianity
23480,Christianity
23484,Portraits
29698,Portraits
23488,Christianity
29700,Portraits
23498,Christianity
29704,Nude
23494,Christianity
29704,Summer
23500,Christianity
29712,Nude
23863,Christianity
29714,Nude
23502,Christianity
29718,Nude
23502,"Jesus Christ"
29722,"U.S. Presidents"
23504,Christianity
25595,Bridges
23506,Christianity
25595,Churches/Temples/Mosques
182387,Still-Life
23510,Christianity
182398,Nude
23510,"Jesus Christ"
23512,Christianity
26231,Portraits
23355,Winter
156969,Christianity
23357,Seascapes
192348,Portraits
23359,Seascapes
175506,Nude
23361,Rivers/Lakes
29772,Nude
23371,Gardens
29774,Portraits
23373,Rivers/Lakes
29776,Portraits
23375,Seascapes
175438,Still-Life
23379,Seascapes
23377,Rivers/Lakes
187164,"Abstract/Modern Art"
187175,"Abstract/Modern Art"
29784,Musics
30108,"Abstract/Modern Art"
29784,Still-Life
187219,"Abstract/Modern Art"
29786,Flowers
187230,"Abstract/Modern Art"
29786,Still-Life
187241,"Abstract/Modern Art"
29788,Still-Life
187208,"Abstract/Modern Art"
29790,Summer
187197,"Abstract/Modern Art"
187147,"Abstract/Modern Art"
187252,"Abstract/Modern Art"
187263,"Abstract/Modern Art"
176823,Still-Life
30110,"Abstract/Modern Art"
176833,Dogs
30110,Summer
122099,Still-Life
187138,"Abstract/Modern Art"
122110,Still-Life
187186,"Abstract/Modern Art"
122141,Flowers
30112,"Abstract/Modern Art"
122132,Flowers
187274,"Abstract/Modern Art"
122159,Flowers
187285,"Abstract/Modern Art"
122121,Musics
122121,Still-Life
187296,"Abstract/Modern Art"
122066,Musics
19099,Winter
122077,Still-Life
19111,Winter
122088,Still-Life
19123,Seascapes
23159,Architectures
19135,Spring
19137,Seascapes
19139,Winter
19141,Lovers
23165,Architectures
25539,Portraits
197889,Flowers
28497,Portraits
28499,Portraits
23207,"Marine Art/Maritime"
23163,Architectures
23209,"Marine Art/Maritime"
23167,Architectures
23211,"Marine Art/Maritime"
23167,Bridges
23213,"Marine Art/Maritime"
23167,Rivers/Lakes
23213,Seascapes
23169,Architectures
23215,"Marine Art/Maritime"
23169,Bridges
23217,"Marine Art/Maritime"
23173,Architectures
23219,"Marine Art/Maritime"
23171,Architectures
23221,"Marine Art/Maritime"
23177,Architectures
124186,Summer
23177,Rivers/Lakes
124301,Flowers
23175,Architectures
124356,Flowers
23175,Rivers/Lakes
124356,"Water Lilies"
124327,Nude
122770,Portraits
23161,Architectures
122726,Flowers
23179,Architectures
122726,Portraits
23181,Architectures
122759,Portraits
23183,Architectures
122748,Flowers
23183,Bridges
120703,"Abstract/Modern Art"
23183,Rivers/Lakes
120735,"Abstract/Modern Art"
23185,Architectures
120746,"Abstract/Modern Art"
120757,"Abstract/Modern Art"
120768,"Abstract/Modern Art"
120779,"Abstract/Modern Art"
196198,"Abstract/Modern Art"
23185,Rivers/Lakes
120790,"Abstract/Modern Art"
23189,Architectures
120801,"Abstract/Modern Art"
23191,Architectures
196210,"Abstract/Modern Art"
23193,Architectures
120724,"Abstract/Modern Art"
23195,Architectures
120812,"Abstract/Modern Art"
23197,Architectures
120823,"Abstract/Modern Art"
122554,Spring
122563,Autumn/Fall
122563,Rivers/Lakes
122590,Autumn/Fall
122599,Rivers/Lakes
122682,Seascapes
122662,Seascapes
122644,Rivers/Lakes
23199,Architectures
23201,Architectures
23203,Architectures
31754,Musics
31768,Horses
31776,Portraits
31772,Portraits
27970,"Jesus Christ"
27994,Portraits
27996,Portraits
27998,Portraits
28000,Portraits
28002,Portraits
31848,Horses
31850,Horses
31852,Horses
28004,Portraits
31854,Horses
28006,Portraits
31856,Horses
28008,Portraits
31862,Horses
27984,Portraits
31866,Horses
28012,Portraits
31868,Horses
28014,Portraits
31870,Horses
28016,Portraits
31870,Rivers/Lakes
28018,Portraits
31874,Horses
28020,Portraits
31876,Horses
28022,Portraits
31878,Horses
124136,Nude
124169,Nude
124147,Nude
31880,Horses
31882,Horses
31888,Horses
